sampleID,index_column,core_name,core_type,sample_depth_start,sample_depth_end,Latitude,Longitude,modernWaterDepth,TEX86,fGDGT_0,fGDGT_1,fGDGT_2,fGDGT_3,fGDGT_cren,fGDGT_cren_prime,BIT,publicationYear,reference_name,remark,reference_link,dataset_DOI,ringIndex,gdgt23ratio,methaneIndex,gdgtZeroOverZeroCren,TEX_RI,deltaRI,QC_flag,match_lat,match_lon,match_depth,SST,thermocline_depth,thermocline_T,thermocline_T_depthIntegral,SSN,thermocline_nitrate,thermocline_nitrate_depthIntegral,region_ID,regionName,pred_tex,tex_residuals
RR00126,JET_RR_00126,BS659,MC,0.0,1.0,71.972,25.047,256.0,0.346,0.5421,0.0341,0.0104,0.0047,0.4057,0.0029,-999.0,2010.0,Kim2010,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.gca.2010.05.027,'https://doi.org/10.25921/wt2r-sc81,1.7034,2.212765957446808,0.1074705111402359,0.5421,1.72103712,0.01763712000000006,include,71.875,25.125,250.0,6.60629,,,,4.5011473,nan,nan,51.0,Barent Sea (100km from NOR_shore),,
RR00127,JET_RR_00127,PLS-91-1-20,GC,0.0,1.0,83.017,48.229,2900.0,0.346,0.503,0.0342,0.0099,0.003,0.4446,0.0052,-999.0,2008.0,Kim2008,Data published in Tierney & Tingley (2015),https://doi.org/10.1016/j.gca.2007.12.010,'https://doi.org/10.25921/wt2r-sc81,1.8621999999999999,3.3000000000000003,0.09478768363855906,0.503,1.72103712,-0.14116287999999977,include,83.125,48.125,2900.0,-1.31891,,,,6.9397383,nan,nan,3.0,Arctic Ocean,,
RR00128,JET_RR_00128,NBP0702-17,SMG,0.0,5.0,-71.54,-114.99,424.0,0.347,0.531,0.0204,0.0056,0.0021,0.4378,0.0031,-999.0,2010.0,Kim2010,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.gca.2010.05.027,'https://doi.org/10.25921/wt2r-sc81,1.8015,2.666666666666667,0.05991471215351813,0.531,1.7225678800000002,-0.07893211999999994,include,-71.625,-114.875,425.0,-1.48721,,,,25.851229,nan,nan,1.0,Amundsen Sea,,
RR00129,JET_RR_00129,IS-S6,MC,0.0,0.5,54.119,-5.584,54.0,0.347,0.4886,0.0279,0.0087,0.0037,0.4686,0.0025,-999.0,2008.0,Kim2008,Data published in Tierney & Tingley (2015),https://doi.org/10.1016/j.gca.2007.12.010,'https://doi.org/10.25921/wt2r-sc81,1.9408,2.351351351351351,0.07880328509972626,0.4886,1.7225678800000002,-0.21823211999999992,include,54.125,-5.625,55.0,11.1444,15.0,10.819691,10.984079,nan,nan,nan,26.0,North Atlantic,0.4764426,-0.12944260525703433
RR00130,JET_RR_00130,BS661,MC,0.0,1.0,71.371,22.758,408.0,0.348,0.5258,0.0389,0.0118,0.0053,0.4145,0.0037,-999.0,2010.0,Kim2010,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.gca.2010.05.027,'https://doi.org/10.25921/wt2r-sc81,1.7511999999999999,2.2264150943396226,0.11809363137916491,0.5258,1.72410528,-0.027094719999999795,include,71.375,22.875,400.0,6.90029,,,,5.11618,nan,nan,51.0,Barent Sea (100km from NOR_shore),,
RR00131,JET_RR_00131,BS667,MC,0.0,1.0,72.832,28.754,305.0,0.349,0.5681,0.0274,0.0084,0.0037,0.3898,0.0026,-999.0,2010.0,Kim2010,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.gca.2010.05.027,'https://doi.org/10.25921/wt2r-sc81,1.6248999999999998,2.27027027027027,0.09145635563787916,0.5681,1.72564932,0.10074932000000025,include,72.875,28.875,300.0,6.07719,,,,5.8601456,nan,nan,50.0,Barent Sea (open sea),,
RR00132,JET_RR_00132,NBP0603-3,KC,0.0,2.0,-65.768,-61.565,772.0,0.35,0.5173,0.0162,0.0042,0.0017,0.4579,0.0028,-999.0,2010.0,Kim2010,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.gca.2010.05.027,'https://doi.org/10.25921/wt2r-sc81,1.8725,2.4705882352941178,0.04577464788732394,0.5173,1.7272,-0.14529999999999998,include,-65.875,-61.625,750.0,,,,,nan,nan,nan,9.0,Drake Passage,,
RR00133,JET_RR_00133,AII-GGC-9,GC,0.0,1.0,-56.195,-32.498,3223.0,0.351,0.5326,0.0502,0.0167,0.0032,0.39,0.0072,-999.0,2008.0,Kim2008,Data published in Tierney & Tingley (2015),https://doi.org/10.1016/j.gca.2007.12.010,'https://doi.org/10.25921/wt2r-sc81,1.682,5.21875,0.15001069976460518,0.5326,1.7287573200000002,0.04675732000000021,include,-56.125,-32.375,3200.0,0.81859,,,,24.297482,nan,nan,40.0,Southern Ocean Front-Atlantic,,
RR00134,JET_RR_00134,NBP0702-3,SMG,0.0,5.0,-77.47,-158.27,1081.0,0.351,0.5414,0.0219,0.0068,0.0024,0.4248,0.0026,-999.0,2010.0,Kim2010,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.gca.2010.05.027,'https://doi.org/10.25921/wt2r-sc81,1.7523,2.8333333333333335,0.06782988004362049,0.5414,1.7287573200000002,-0.023542679999999816,include,-77.375,-158.375,1100.0,-1.50741,,,,nan,nan,nan,32.0,Ross Sea,,
RR00135,JET_RR_00135,BS629,MC,0.0,1.0,73.0,24.251,404.0,0.351,0.5574,0.0261,0.0077,0.0037,0.4023,0.0028,-999.0,2010.0,Kim2010,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.gca.2010.05.027,'https://doi.org/10.25921/wt2r-sc81,1.673,2.081081081081081,0.08472661545413468,0.5574,1.7287573200000002,0.05575732000000011,include,72.875,24.375,400.0,6.20519,,,,5.8158693,nan,nan,50.0,Barent Sea (open sea),,
RR00136,JET_RR_00136,MC-3,MC,0.0,1.0,41.251,138.597,1268.0,0.353,0.5328,0.0367,0.0108,0.0039,0.4104,0.0053,-999.0,2008.0,Kim2008,Data published in Tierney & Tingley (2015),https://doi.org/10.1016/j.gca.2007.12.010,'https://doi.org/10.25921/wt2r-sc81,1.7328000000000001,2.7692307692307696,0.11004067651466495,0.5328,1.73189188,-0.0009081200000000678,include,41.375,138.625,1250.0,13.18201,,,,0.99158305,nan,nan,21.0,Japan Sea,,
RR00137,JET_RR_00137,Station A,MC,1.0,2.0,60.621,-79.712,129.0,0.351973684,0.4826,0.0197,0.0051,0.0025,0.487,0.0031,-999.0,2010.0,Kim2010,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.gca.2010.05.027,'https://doi.org/10.25921/wt2r-sc81,1.9978,2.04,0.052763819095477386,0.4826,1.7302800377587257,-0.2675199622412743,include,60.625,-79.625,125.0,2.10091,,,,1.3558099,nan,nan,18.0,Hudson Bay,,
RR00138,JET_RR_00138,PLS-91-1-31,BC,0.0,1.0,73.724,21.273,1536.0,0.354,0.5336,0.0275,0.0078,0.0035,0.4238,0.0038,-999.0,2008.0,Kim2008,Data published in Tierney & Tingley (2015),https://doi.org/10.1016/j.gca.2007.12.010,'https://doi.org/10.25921/wt2r-sc81,1.7640000000000002,2.228571428571428,0.08319039451114922,0.5336,1.73346912,-0.03053088000000015,include,73.625,21.375,1550.0,4.98141,,,,5.693169,nan,nan,50.0,Barent Sea (open sea),,
RR00139,JET_RR_00139,PD90-7-9,SMG,0.0,5.0,-65.166,-63.228,490.0,0.356435644,0.5472,0.0195,0.006,0.0023,0.4226,0.0025,-999.0,2010.0,Kim2010,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.gca.2010.05.027,'https://doi.org/10.25921/wt2r-sc81,1.7388,2.608695652173913,0.06138220357694856,0.5472,1.7373384969214665,-0.0014615030785334326,include,-65.125,-63.125,500.0,,,,,nan,nan,nan,9.0,Drake Passage,,
RR00140,JET_RR_00140,NBP0107-28 ,KC,0.0,1.0,-64.317,-62.046,1014.0,0.354,0.5435,0.017,0.0047,0.0021,0.4302,0.0025,-999.0,2010.0,Kim2010,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.gca.2010.05.027,'https://doi.org/10.25921/wt2r-sc81,1.7635,2.238095238095238,0.05213581599123768,0.5435,1.73346912,-0.030030879999999982,include,-64.375,-62.125,1000.0,-0.24681,,,,nan,nan,nan,9.0,Drake Passage,,
RR00141,JET_RR_00141,PLS-91-1-6,PC,0.0,1.0,81.487,28.534,628.0,0.356,0.5111,0.0208,0.0052,0.0025,0.4566,0.0038,-999.0,2008.0,Kim2008,Data published in Tierney & Tingley (2015),https://doi.org/10.1016/j.gca.2007.12.010,'https://doi.org/10.25921/wt2r-sc81,1.8803,2.08,0.05829412967887093,0.5111,1.73664352,-0.14365647999999998,include,81.375,28.625,650.0,-0.87431,,,,8.529469,nan,nan,3.0,Arctic Ocean,,
RR00142,JET_RR_00142,BS653,MC,0.0,1.0,73.972,25.798,441.0,0.356,0.5515,0.0198,0.0058,0.0031,0.4178,0.0021,-999.0,2010.0,Kim2010,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.gca.2010.05.027,'https://doi.org/10.25921/wt2r-sc81,1.7203,1.8709677419354838,0.06397681676326349,0.5515,1.73664352,0.016343520000000167,include,73.875,25.875,450.0,5.36089,,,,5.78113,nan,nan,50.0,Barent Sea (open sea),,
RR00143,JET_RR_00143,North Sea Dutch Coast,BC,0.0,1.0,53.0,4.5,24.0,0.358,0.4792,0.0495,0.0167,0.0057,0.4436,0.0051,-999.0,2008.0,Kim2008,Data published in Tierney & Tingley (2015),https://doi.org/10.1016/j.gca.2007.12.010,'https://doi.org/10.25921/wt2r-sc81,1.8948,2.9298245614035086,0.13810987322320403,0.4792,1.73984448,-0.15495552000000012,include,52.875,4.375,25.0,11.495509,,,,4.8134084,nan,nan,27.0,North Sea,,
RR00144,JET_RR_00144,GeoB2712-1,MC,0.0,1.0,-43.675,-59.33,1228.0,0.358,0.5234,0.041,0.0151,0.0031,0.4127,0.0047,-999.0,2008.0,Kim2008,Data published in Tierney & Tingley (2015),https://doi.org/10.1016/j.gca.2007.12.010,'https://doi.org/10.25921/wt2r-sc81,1.7501,4.870967741935484,0.12421317666806547,0.5234,1.73984448,-0.010255520000000073,include,-43.625,-59.375,1250.0,9.33311,40.0,7.28691,8.495298,14.849442,18.699938,16.084393,13.0,Eastern South America Offshore,0.447655,-0.08965499234199525
RR00145,JET_RR_00145,BS665,MC,0.0,1.0,72.167,28.399,289.0,0.358,0.5436,0.0282,0.0085,0.0042,0.4126,0.0031,-999.0,2010.0,Kim2010,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.gca.2010.05.027,'https://doi.org/10.25921/wt2r-sc81,1.7206000000000001,2.023809523809524,0.08957512045554095,0.5436,1.73984448,0.019244479999999786,include,72.125,28.375,300.0,6.324,35.0,5.87839,6.1728277,5.5246105,7.113523,5.9387646,51.0,Barent Sea (100km from NOR_shore),0.42079106,-0.06279105973243715
RR00146,JET_RR_00146,HON02-015 BEN,MC,0.0,5.0,49.621,-63.712,395.0,0.36,0.4966,0.0389,0.0141,0.0031,0.4427,0.0046,-999.0,2010.0,Kim2010,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.gca.2010.05.027,'https://doi.org/10.25921/wt2r-sc81,1.8656,4.548387096774194,0.11144219308700834,0.4966,1.743072,-0.12252799999999997,include,49.625,-63.625,400.0,,,,,nan,nan,nan,12.0,Eastern North America Offshore,,
RR00147,JET_RR_00147,NBP0702-22,SMG,0.0,5.0,-71.75,-104.01,665.0,0.36,0.4778,0.0345,0.0113,0.003,0.4683,0.005,-999.0,2010.0,Kim2010,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.gca.2010.05.027,'https://doi.org/10.25921/wt2r-sc81,1.9593,3.766666666666666,0.09346868416012259,0.4778,1.743072,-0.2162280000000001,include,-71.875,-104.125,650.0,-1.74691,,,,25.723352,nan,nan,1.0,Amundsen Sea,,
RR00148,JET_RR_00148,GeoB2723-2,MC,0.0,1.0,-48.912,-57.875,569.0,0.36,0.5261,0.0325,0.0108,0.0031,0.4232,0.0044,-999.0,2008.0,Kim2008,Data published in Tierney & Tingley (2015),https://doi.org/10.1016/j.gca.2007.12.010,'https://doi.org/10.25921/wt2r-sc81,1.7738,3.483870967741936,0.09789029535864979,0.5261,1.743072,-0.03072800000000009,include,-48.875,-57.875,550.0,7.15161,45.0,6.22289,6.757369,16.850842,19.210163,17.459167,13.0,Eastern South America Offshore,0.42755243,-0.06755243182182313
RR00149,JET_RR_00149,NBP0702-13,SMG,0.0,5.0,-73.94,-134.52,470.0,0.36,0.5152,0.0206,0.0057,0.003,0.4527,0.0029,-999.0,2010.0,Kim2010,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.gca.2010.05.027,'https://doi.org/10.25921/wt2r-sc81,1.8634,1.9000000000000001,0.06042482986182718,0.5152,1.743072,-0.12032799999999999,include,-73.875,-134.625,475.0,-1.73191,,,,27.608688,nan,nan,1.0,Amundsen Sea,,
RR00150,JET_RR_00150,North Sea Breeveertien 14,BC,0.0,1.0,52.908,3.733,,0.361,0.4563,0.0532,0.0188,0.0071,0.4605,0.0041,-999.0,2008.0,Kim2008,Data published in Tierney & Tingley (2015),https://doi.org/10.1016/j.gca.2007.12.010,'https://doi.org/10.25921/wt2r-sc81,1.9705000000000001,2.647887323943662,0.14548464226595548,0.4563,1.7446957200000002,-0.22580427999999997,include,52.875,3.625,0.0,11.565909,,,,0.6453575,nan,nan,27.0,North Sea,,
RR00151,JET_RR_00151,ENAM9407,BC,0.0,1.0,62.956,-4.032,2060.0,0.361,0.528,0.0321,0.0098,0.0035,0.4216,0.0049,-999.0,2008.0,Kim2008,Data published in Tierney & Tingley (2015),https://doi.org/10.1016/j.gca.2007.12.010,'https://doi.org/10.25921/wt2r-sc81,1.7682,2.8,0.09620682347955074,0.528,1.7446957200000002,-0.023504279999999822,include,62.875,-4.125,2100.0,7.98381,,,,5.7129955,nan,nan,26.0,North Atlantic,,
RR00152,JET_RR_00152,PLS-91-1-5,BC,0.0,1.0,80.867,29.021,4018.0,0.361,0.5053,0.0248,0.0066,0.0035,0.4559,0.0039,-999.0,2008.0,Kim2008,Data published in Tierney & Tingley (2015),https://doi.org/10.1016/j.gca.2007.12.010,'https://doi.org/10.25921/wt2r-sc81,1.8877000000000002,1.8857142857142857,0.0705478067515666,0.5053,1.7446957200000002,-0.14300427999999998,include,80.875,29.125,4000.0,-0.87441003,,,,8.247599,nan,nan,3.0,Arctic Ocean,,
RR00153,JET_RR_00153,BS631,MC,0.0,1.0,73.663,24.46,451.0,0.362,0.5517,0.0195,0.0057,0.0031,0.4178,0.0023,-999.0,2010.0,Kim2010,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.gca.2010.05.027,'https://doi.org/10.25921/wt2r-sc81,1.7206000000000001,1.838709677419355,0.06311329170383585,0.5517,1.74632608,0.025726079999999873,include,73.625,24.375,450.0,5.48821,,,,5.763177,nan,nan,50.0,Barent Sea (open sea),,
RR00154,JET_RR_00154,BS692,MC,0.0,1.0,70.621,31.712,252.0,0.362,0.5183,0.0256,0.0078,0.0037,0.4415,0.003,-999.0,2010.0,Kim2010,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.gca.2010.05.027,'https://doi.org/10.25921/wt2r-sc81,1.8303,2.108108108108108,0.07703488372093023,0.5183,1.74632608,-0.08397392000000004,include,70.625,31.625,250.0,6.30859,,,,3.6068077,nan,nan,51.0,Barent Sea (100km from NOR_shore),,
RR00155,JET_RR_00155,BS690,MC,0.0,1.0,71.013,30.947,283.0,0.362,0.5295,0.0234,0.007,0.0035,0.4339,0.0028,-999.0,2010.0,Kim2010,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.gca.2010.05.027,'https://doi.org/10.25921/wt2r-sc81,1.7947000000000002,2.0,0.0720356991075223,0.5295,1.74632608,-0.04837392000000018,include,71.125,30.875,275.0,6.3393,,,,3.9178548,nan,nan,51.0,Barent Sea (100km from NOR_shore),,
RR00156,JET_RR_00156,BS669,MC,0.0,1.0,73.501,29.146,414.0,0.363,0.5527,0.021,0.0062,0.0032,0.4143,0.0025,-999.0,2010.0,Kim2010,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.gca.2010.05.027,'https://doi.org/10.25921/wt2r-sc81,1.7102,1.9374999999999998,0.06797853309481218,0.5527,1.7479630800000001,0.03776308000000017,include,73.625,29.125,425.0,5.65379,,,,6.289304,nan,nan,50.0,Barent Sea (open sea),,
RR00157,JET_RR_00157,IS-S4,MC,0.0,0.5,51.218,-6.099,106.0,0.363,0.4635,0.0373,0.0127,0.0049,0.4779,0.0037,-999.0,2008.0,Kim2008,Data published in Tierney & Tingley (2015),https://doi.org/10.1016/j.gca.2007.12.010,'https://doi.org/10.25921/wt2r-sc81,2.0038,2.5918367346938775,0.10232991612301959,0.4635,1.7479630800000001,-0.2558369199999999,include,51.125,-6.125,100.0,12.7035,,,,0.7133039,nan,nan,26.0,North Atlantic,,
RR00158,JET_RR_00158,NBP0107-17,KC,0.0,2.0,-64.849,-65.401,657.0,0.364,0.4461,0.0237,0.0067,0.0023,0.5167,0.0045,-999.0,2010.0,Kim2010,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.gca.2010.05.027,'https://doi.org/10.25921/wt2r-sc81,2.1288,2.9130434782608696,0.059035927062646695,0.4461,1.74960672,-0.37919327999999997,include,-64.875,-65.375,650.0,-0.54001004,150.0,0.31849,-0.42369035,22.427914,31.188839,28.324047,9.0,Drake Passage,0.34448943,0.019510574579238882
RR00159,JET_RR_00159,M2003-08,BC,0.0,1.0,62.767,-1.125,1601.0,0.365,0.5303,0.0337,0.0109,0.0036,0.4167,0.0048,-999.0,2008.0,Kim2008,Data published in Tierney & Tingley (2015),https://doi.org/10.1016/j.gca.2007.12.010,'https://doi.org/10.25921/wt2r-sc81,1.7523000000000002,3.0277777777777777,0.1026186927826272,0.5303,1.7512569999999998,-0.0010430000000003492,include,62.875,-1.125,1600.0,8.71311,,,,6.1010876,nan,nan,26.0,North Atlantic,,
RR00160,JET_RR_00160,BS657,MC,0.0,1.0,72.634,25.269,268.0,0.365,0.5486,0.0281,0.0091,0.0042,0.4072,0.0028,-999.0,2010.0,Kim2010,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.gca.2010.05.027,'https://doi.org/10.25921/wt2r-sc81,1.6989,2.166666666666667,0.09171466548515728,0.5486,1.7512569999999998,0.052356999999999765,include,72.625,25.375,275.0,6.47189,,,,5.5400906,nan,nan,50.0,Barent Sea (open sea),,
RR00161,JET_RR_00161,BY310 Landsort deep oxic,BC,0.0,1.0,58.621,17.712,54.0,0.366,0.4957,0.0233,0.0073,0.0028,0.4676,0.0034,-999.0,2010.0,Kim2010,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.gca.2010.05.027,'https://doi.org/10.25921/wt2r-sc81,1.9303000000000001,2.607142857142857,0.0662172878667724,0.4957,1.7529139200000001,-0.17738608,include,58.625,17.625,55.0,8.2266,,,,0.6466879,nan,nan,4.0,Baltic Sea,,
RR00162,JET_RR_00162,BS651,MC,0.0,1.0,74.63,26.065,317.0,0.366,0.5596,0.0176,0.0053,0.0031,0.4126,0.0017,-999.0,2010.0,Kim2010,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.gca.2010.05.027,'https://doi.org/10.25921/wt2r-sc81,1.6947,1.7096774193548387,0.0590506472859414,0.5596,1.7529139200000001,0.05821392000000003,include,74.625,26.125,325.0,3.97571,35.0,3.45681,3.8160815,6.0018764,7.88464,6.5410113,50.0,Barent Sea (open sea),0.3935307,-0.027530696630477913
RR00163,JET_RR_00163,GeoB2714-5,MC,0.0,1.0,-43.863,-57.997,2361.0,0.366,0.4995,0.0566,0.0223,0.0032,0.4111,0.0073,-999.0,2008.0,Kim2008,Data published in Tierney & Tingley (2015),https://doi.org/10.1016/j.gca.2007.12.010,'https://doi.org/10.25921/wt2r-sc81,1.7844,6.96875,0.16403596403596402,0.4995,1.7529139200000001,-0.03148607999999986,include,-43.875,-57.875,2400.0,9.674009,,,,18.174946,nan,nan,13.0,Eastern South America Offshore,,
RR00164,JET_RR_00164,MD03-2604,GC,0.0,1.0,-64.285,139.375,3331.0,0.367,0.565,0.0373,0.0123,0.0025,0.376,0.0068,-999.0,2008.0,Kim2008,Data published in Tierney & Tingley (2015),https://doi.org/10.1016/j.gca.2007.12.010,'https://doi.org/10.25921/wt2r-sc81,1.6005999999999998,4.92,0.11979765463324904,0.565,1.75457748,0.15397748000000022,include,-64.375,139.375,3300.0,-0.87301004,,,,28.322525,nan,nan,41.0,Tasman-Antarctica 140E Transect,,
RR00165,JET_RR_00165,NBP0702-10,SMG,0.0,5.0,-74.1,-108.61,730.0,0.367,0.5208,0.015,0.004,0.0018,0.4555,0.0029,-999.0,2010.0,Kim2010,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.gca.2010.05.027,'https://doi.org/10.25921/wt2r-sc81,1.862,2.2222222222222223,0.04340567612687813,0.5208,1.75457748,-0.10742252000000008,include,-74.125,-108.625,750.0,-1.5599,15.0,-1.64931,-1.5901417,nan,nan,nan,1.0,Amundsen Sea,0.33099714,0.03600286078453063
RR00166,JET_RR_00166,MD03-2603,PC,0.0,1.0,-64.285,139.375,3331.0,0.368,0.5319,0.0361,0.0116,0.0027,0.411,0.0068,-999.0,2008.0,Kim2008,Data published in Tierney & Tingley (2015),https://doi.org/10.1016/j.gca.2007.12.010,'https://doi.org/10.25921/wt2r-sc81,1.7385999999999997,4.296296296296296,0.10764630499786418,0.5319,1.75624768,0.017647680000000276,include,-64.375,139.375,3300.0,-0.87301004,,,,28.322525,nan,nan,41.0,Tasman-Antarctica 140E Transect,,
RR00167,JET_RR_00167,PD90-7-8,SMG,0.0,5.0,-65.155,-63.22,493.0,0.369,0.5426,0.0207,0.0062,0.0024,0.4246,0.0035,-999.0,2010.0,Kim2010,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.gca.2010.05.027,'https://doi.org/10.25921/wt2r-sc81,1.7527,2.5833333333333335,0.06405771753388718,0.5426,1.75792452,0.005224520000000066,include,-65.125,-63.125,500.0,,,,,nan,nan,nan,9.0,Drake Passage,,
RR00168,JET_RR_00168,GeoB6409-2,GBC,0.0,1.0,-44.507,-21.717,4296.0,0.37,0.5015,0.0642,0.0262,0.0034,0.3966,0.0081,-999.0,2008.0,Kim2008,Data published in Tierney & Tingley (2015),https://doi.org/10.1016/j.gca.2007.12.010,'https://doi.org/10.25921/wt2r-sc81,1.7456,7.7058823529411775,0.1881644934804413,0.5015,1.759608,0.01400800000000002,include,-44.625,-21.625,4300.0,10.3355,,,,13.4002695,nan,nan,37.0,South Atlantic Gyre,,
RR00169,JET_RR_00169,ST-34,MC,0.0,1.0,-60.045,142.002,4354.0,0.371,0.5417,0.0505,0.0176,0.003,0.3781,0.0092,-999.0,2008.0,Kim2008,Data published in Tierney & Tingley (2015),https://doi.org/10.1016/j.gca.2007.12.010,'https://doi.org/10.25921/wt2r-sc81,1.6439,5.866666666666667,0.15510471204188483,0.5417,1.76129812,0.11739812000000005,include,-60.125,142.125,4400.0,1.1666,,,,26.640785,nan,nan,41.0,Tasman-Antarctica 140E Transect,,
RR00170,JET_RR_00170,M2003-06,BC,0.0,1.0,74.146,29.553,366.0,0.373,0.5312,0.0328,0.0107,0.0035,0.4165,0.0052,-999.0,2008.0,Kim2008,Data published in Tierney & Tingley (2015),https://doi.org/10.1016/j.gca.2007.12.010,'https://doi.org/10.25921/wt2r-sc81,1.7514999999999998,3.057142857142857,0.10027736291871135,0.5312,1.7646982800000002,0.01319828000000034,include,74.125,29.625,375.0,5.15859,,,,6.403158,nan,nan,50.0,Barent Sea (open sea),,
RR00171,JET_RR_00171,BS671,MC,0.0,1.0,62.643,-1.315,1702.0,0.373,0.5431,0.019,0.0057,0.0032,0.4267,0.0024,-999.0,2010.0,Kim2010,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.gca.2010.05.027,'https://doi.org/10.25921/wt2r-sc81,1.7564000000000002,1.78125,0.061050328227571116,0.5431,1.7646982800000002,0.008298279999999991,include,62.625,-1.375,1700.0,8.8103,40.0,8.247391,8.636366,6.1614146,8.029043,6.65213,26.0,North Atlantic,0.4492867,-0.07628669929504395
RR00172,JET_RR_00172,ST-45,MC,0.0,1.0,84.009,46.722,3960.0,0.373,0.5317,0.0235,0.0069,0.0027,0.4308,0.0044,-999.0,2008.0,Kim2008,Data published in Tierney & Tingley (2015),https://doi.org/10.1016/j.gca.2007.12.010,'https://doi.org/10.25921/wt2r-sc81,1.7862000000000002,2.5555555555555554,0.07068118727311551,0.5317,1.7646982800000002,-0.021501720000000057,include,84.125,46.625,4000.0,-1.48951,,,,6.7260113,nan,nan,3.0,Arctic Ocean,,
RR00173,JET_RR_00173,PLS-91-1-17,GC,0.0,1.0,-65.468,140.498,1567.0,0.373,0.5214,0.0371,0.0121,0.0043,0.4194,0.0057,-999.0,2008.0,Kim2008,Data published in Tierney & Tingley (2015),https://doi.org/10.1016/j.gca.2007.12.010,'https://doi.org/10.25921/wt2r-sc81,1.7746,2.813953488372093,0.11178437108232345,0.5214,1.7646982800000002,-0.00990171999999978,include,-65.375,140.375,1550.0,-1.2352101,,,,28.812634,nan,nan,41.0,Tasman-Antarctica 140E Transect,,
RR00174,JET_RR_00174,PLS-91-1-24,PC,0.0,1.0,81.021,42.874,472.0,0.373,0.5506,0.0245,0.0062,0.0059,0.4103,0.0025,-999.0,2008.0,Kim2008,Data published in Tierney & Tingley (2015),https://doi.org/10.1016/j.gca.2007.12.010,'https://doi.org/10.25921/wt2r-sc81,1.7058,1.0508474576271187,0.08144192256341788,0.5506,1.7646982800000002,0.05889828000000019,include,81.125,42.875,475.0,-1.18131,,,,7.8803434,nan,nan,3.0,Arctic Ocean,,
RR00175,JET_RR_00175,NP-07-13-14,MC,0.0,1.0,79.266,11.668,245.0,0.374,0.5789,0.0182,0.0056,0.0031,0.3921,0.0022,-999.0,2010.0,Kim2010,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.gca.2010.05.027,'https://doi.org/10.25921/wt2r-sc81,1.6159,1.8064516129032258,0.06386514719848053,0.5789,1.76640832,0.15050832000000014,include,79.375,11.625,250.0,,,,,nan,nan,nan,14.0,Greenland Sea,,
RR00176,JET_RR_00176,GeoB2724-7,MC,0.0,1.0,-47.963,-56.175,4799.0,0.375,0.4948,0.0636,0.0262,0.0032,0.4035,0.0087,-999.0,2008.0,Kim2008,Data published in Tierney & Tingley (2015),https://doi.org/10.1016/j.gca.2007.12.010,'https://doi.org/10.25921/wt2r-sc81,1.7744,8.1875,0.18408551068883608,0.4948,1.768125,-0.0062750000000000306,include,-47.875,-56.125,4800.0,7.96429,,,,20.225906,nan,nan,13.0,Eastern South America Offshore,,
RR00177,JET_RR_00177,BS633,MC,0.0,1.0,74.331,24.683,373.0,0.375,0.5591,0.0189,0.006,0.0033,0.4106,0.0021,-999.0,2010.0,Kim2010,Data published in Tierney & Tingley (2015),http://dx.doi.org/10.1016/j.gca.2010.05.027,'https://doi.org/10.25921/wt2r-sc81,1.6916,1.8181818181818181,0.06396008165116807,0.5591,1.768125,0.07652499999999995,include,74.375,24.625,375.0,3.9012,40.0,3.2535899,3.6792202,5.972597,8.386367,6.7474756,50.0,Barent Sea (open sea),0.39194763,-0.016947627067565918
